ID,from Currency ,to Currency ,deal Timestamp,deal Amount
1,EUR,USD,5/17/2024 10:30,500
2,GBP,USD,5/17/2024 10:30,1500
3,JPY,USD,5/17/2024 10:30,300
4,CHF,USD,5/17/2024 10:30,400
5,CAD,USD,5/17/2024 10:30,600
6,AUD,USD,5/17/2024 10:30,700
7,NZD,USD,5/17/2024 10:30,800
7,SEK,USD,5/17/2024 10:30,900
9,NOK,USD,5/17/2024 10:30,1000
10,DKK,USD,5/17/2024 10:30,1100
11,ZAR,USD,5/17/2024 10:30,1200
12,HKD,USD,5/17/2024 10:30,1300
13,SGD,USD,5/17/2024 10:30,1400
14,THB,USD,5/17/2024 10:30,1500
15,MYR,USD,5/17/2024 10:30,1600
15,IDR,USD,5/17/2024 10:30,1700
16,PHP,USD,5/17/2024 10:30,1800
17,VND,USD,5/17/2024 10:30,1900
